Department Name,Accounting Department,In Full Category,Merch Align
Candy and Tobacco,1,Food,Food
Personal Care Health and Beauty Aids,2,Consumables,Consumables
Stationery,3,General Merchandise,Hardlines
Paper Goods Household Paper,4,Consumables,Consumables
Media and Gaming,5,General Merchandise,"Entertainment, Toys, and Seasonal"
Wireless Wearables Cameras and Supplies,6,General Merchandise,"Entertainment, Toys, and Seasonal"
Toys,7,General Merchandise,"Entertainment, Toys, and Seasonal"
Pets and Supplies,8,Consumables,Consumables
Sporting Goods,9,General Merchandise,Hardlines
Automotive,10,General Merchandise,Hardlines
Hardware,11,General Merchandise,Hardlines
Paint and Accessories Do It Yourself,12,General Merchandise,Hardlines
Household Chemicals,13,Consumables,Consumables
Kitchen and Dining Cook and Dine,14,General Merchandise,Home
"Clinics, Health and Wellness",15,Health and Wellness,Health and Wellness
Lawn and Garden,16,General Merchandise,Hardlines
Home Decor,17,General Merchandise,Home
Seasonal,18,General Merchandise,"Entertainment, Toys, and Seasonal"
Piece Goods Fabrics and Crafts,19,General Merchandise,Home
Bath and Shower,20,General Merchandise,Home
Books and Magazine,21,General Merchandise,"Entertainment, Toys, and Seasonal"
Bedding,22,General Merchandise,Home
Mens Wear,23,General Merchandise,Apparel
Boys Wear,24,General Merchandise,Apparel
Shoes,25,General Merchandise,Apparel
Infants Toddlers,26,General Merchandise,Apparel
Family Socks,27,General Merchandise,Apparel
Nylon Hoisery,28,General Merchandise,Apparel
Intimate Apparel,29,General Merchandise,Apparel
Foundations,30,General Merchandise,Apparel
Handbags/Accessories,31,General Merchandise,Apparel
Jewelry,32,General Merchandise,Apparel
Girls Wear,33,General Merchandise,Apparel
Ladies Wear,34,General Merchandise,Apparel
Plus Size,35,General Merchandise,Apparel
Ladies Outerwear,36,General Merchandise,Apparel
Auto Service,37,Service,Service
Prescription Pharmacy,38,Health and Wellness,Health and Wellness
Roadshow Consumer Service,39,Service,Service
OTC Pharmacy ,40,Consumables,Consumables
Mens Wear,41,General Merchandise,Apparel
Automotive,42,General Merchandise,Hardlines
Toys,43,General Merchandise,"Entertainment, Toys, and Seasonal"
Piece Goods Fabrics and Crafts,44,General Merchandise,Home
Sporting Goods,45,General Merchandise,Hardlines
Cosmetics Fragrances and Skin Care,46,Consumables,Consumables
Jewelry,47,General Merchandise,Apparel
Optical,49,Health and Wellness,Health and Wellness
Optical,50,Health and Wellness,Health and Wellness
Sporting Goods,51,General Merchandise,Hardlines
Piece Goods Fabrics and Crafts,52,General Merchandise,Home
Stationery,53,General Merchandise,Hardlines
Jewelry,54,General Merchandise,Apparel
Media and Gaming,55,General Merchandise,"Entertainment, Toys, and Seasonal"
Horticulture and Live Plants,56,General Merchandise,Hardlines
Hearing Center,57,Health and Wellness,Health and Wellness
Wireless Service Inc,58,Service,Service
Cosmetics Fragrances and Skin Care,59,Consumables,Consumables
Concept Stores,60,Service,Service
Auto Service,65,Service,Service
Celebration and Cards,67,General Merchandise,"Entertainment, Toys, and Seasonal"
Furniture,71,General Merchandise,Home
Electronics,72,General Merchandise,"Entertainment, Toys, and Seasonal"
Stationery,73,General Merchandise,Hardlines
Closet Storage and Organization,74,General Merchandise,Home
Large Appliances,77,General Merchandise,Hardlines
Ladies Wear,78,General Merchandise,Apparel
Infant Consumable Hardlines,79,Consumables,Apparel
Deli,80,Food,Food
Commerical Bread,81,Food,Food
Impulse Merchandise,82,Food,Food
Seafood,83,Food,Food
Photo Services One Hour Photo,85,Service,Service
Financial Services Walmart Services,86,Service,Service
Wireless,87,General Merchandise,"Entertainment, Toys, and Seasonal"
PMDC Signage,88,Service,Service
Everyday Services Walmart Travel,89,Service,Service
Dairy Products,90,Food,Food
Frozen Foods,91,Food,Food
Grocery Dry Goods,92,Food,Food
Meat,93,Food,Food
Fresh Produce,94,Food,Food
DSD Grocery and Snacks,95,Food,Food
Liquor Adult Beverage,96,Food,Food
Deli,97,Food,Food
Bakery,98,Food,Food
Office and Store Supplies,99,General Merchandise,Hardlines
